"ClipID","EventID","INSTANCE_TYPE","SYNOPSIS","GENRE","TOPIC","SCENE","OBJECTS","ACTIVITIES","INSTANCE_VARIETY","INSTANCE_COMPLEXITY","AUDIO_EVIDENCE","TEXT_EVIDENCE","NON_ENG_SPEECH","NON_ENG_TEXT"
"286","P002","positive","Little league home run plus one run batted in","Home Video","MED_10_EVENTS","outside, evening, baseball diamond","little league","","","","yes","no","no","no"
"288","P002","positive","Two runs batted in plus a home run","Home Video","MED_10_EVENTS","outside, afternoon, rec league baseball diamond","rec league","batter swings, hits ball, two runs run in and a home run","","","yes","no","no","no"
"314","NULL","NULL","Boy skate boarding down a ramp","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"326","P002","positive","home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"328","P002","positive","3 run home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"332","NULL","NULL","Team Magnum ultimate frisbee highlights","Home Video","SPORTS","","","","","","","","",""
"333","NULL","NULL","Portland ultimate highlights","Home Video","SPORTS","","","","","","","","",""
"356","P003","positive","retro Pillsbury cake mix commercial","Advertisement (public domain)","MED_10_EVENTS","outdoor party scene, making cake in kitchen","little girl in party hat","mixing cake mix and eggs, lighting candles","","","yes","no","no","no"
"443","NULL","NULL","Dogs laying around and playing with a ball","Home Video","ANIMALS","","","","","","","","",""
"468","NULL","NULL","A video of a family's camping trip to Flagstaff, Az.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"472","NULL","NULL","Little boys playing in the water","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"476","NULL","NULL","Little boy dancing while on the phone","Home Video","DANCE","","","","","","","","",""
"477","NULL","NULL","Little boy walking with grandfather","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"479","NULL","NULL","Footage of a faily's bicycle /camping trip in Waco.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"480","NULL","NULL","Little boys painting","Home Video","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
